id,文本,文章名,最终标注,来源,检索关键词
#####,广州也有日本人学校啊，希望你去现场直播，就地投诉。,#欧阳震华#，一小时内两次发文！3月28日凌晨，欧阳震华在一小时内两次发文，令人没想到的是，欧阳震华一开口就说：“日本在内地建了很多学校，但这些学校没有一个中国学生，全部都是日本人，而且禁止中国人入内”，好家伙，大半夜的欧阳震华这是想说什么呢？网友纷纷好奇，到底是什么事？据悉，这条消息不是来自八卦媒体，而是欧阳震华亲自发文。文中，欧阳震华态度坚决却又半信半疑，既没有说出在哪里得知这件事，也没有说出这些学校地址在哪儿，让人看地摸不着头脑。不过，有网友联想到，近日有一名50多岁的日本男子被抓，于是忍不住去欧阳震华社交账号发问：“ 难道是日本企业在中国提供给小朋友或者老人的？搞得我也好奇了！”一小时后，欧阳震华再次发文表态：“先旨声明，本人只是活到老，学到老，无意图搞对抗，只想有一个解释，一间学校无需这样封闭教育，如果在中国兴建日本学校不能给中国人参与小朋友的教育，甚至不能靠近，真是百思不得其解”。网友纷纷惊讶，并继续追问欧阳震华：“胖胖，你今天怎么像爱国大V一样义愤填膺？我也很好奇，不能靠近也太奇怪了吧？”欧阳震华这次虽然没有再发文，但是有位网友说得好：“华哥这份爱国心没有任何问题！你说的对，真的应该解决！”不过，欧阳震华给网友制造悬念的同时，不仅给网友带来一股正能量，还很好地表明了当下的立场态度，真是一举三得。不老男神难得变爱国大V，怎能让人不印象深刻？,0,微博,老人
#####,派人去他那多买点水果让他多挣钱,,1,微博,弱势地位群体
#####,现在这帮女神经的诉求从工作到婚恋说白了就是把自己放到弱势地位群体地位却要求强者待遇可以说是有病,妇女如何在一段处于弱势地位的婚姻中为自己争取最大化利益？,0,知乎,妇女
#####,我今天就让你们看看，当狗有什么不好,https://www.zhihu.com/answer/2579796624,0,知乎,普通人
#####,要面对现时，认命吧！我也是个残疾人,https://www.zhihu.com/answer/1867690098,0,知乎,伤残人员
#####,先盖上盲道和轮椅斜坡，然后小贩占地经营、私家车停在人行道上、施工队维修下水管挖开不填。最后只能用石墩子堵住入口,如何看待轮椅上的小仙女陈小平因无障碍坡道坡度太高而导致轮椅侧翻，摔倒后重伤去世一事？,0,知乎,妇女
#####,有偏见就该被咒死家人？,,0,微博,单亲家庭
#####,确实，我男友觉得家里人靠不住，他觉得他自己有钱了自己才有底气些,https://www.zhihu.com/answer/108459197,0,知乎,单亲家庭
#####,抓起家人来'判刑,#男子好心扶起老人险些被讹# 3月26日，安徽安庆，男子好心扶摔倒老人，老两口不但不感谢，反遭其质问：你撞了我们还要去哪儿？ 男子怒怼：“我行车记录仪开着呢”。救死扶伤、助人为乐，本是中华民族的优良传统和美德，然而一起起扶老人反被讹事件，一次次冲击着社会的公德，很多讹人者在真相大白后，一般只是口头道歉，最多受到舆论的谴责和民警的一番教育，“讹人”成本太低导致不少“讹人”者无所顾忌、胆大妄为。因此舆论呼吁提高讹人代价，方能保护见义勇为，弘扬良好社会风气。 法律指南的微博视频,0,微博,老人
#####,其实单亲的需要更多的关爱,https://www.zhihu.com/answer/15298607,1,知乎,单亲家庭
